date,latitude,longitude,wind_speed,central_pressure,basin
2021-07-16 06:00:00,17.9714,135.143, ,1004,WP
2021-09-27 21:00:00,19.2220,78.7548, , ,NI
2022-08-04 06:00:00,18.3000,-129.900,30,1009,EP
2022-09-09 21:00:00,20.3347,126.398, , ,WP
2024-03-12 06:00:00,-21.5000,34.9000, , ,SI
2021-08-30 18:00:00,51.3000,171.600, ,1000,WP
2020-03-11 15:00:00,-17.9050,116.082, , ,SI
2020-11-01 00:00:00,15.7000,134.325, ,1002,WP
2024-04-09 18:00:00,-18.6000,116.100, , ,SI
2023-07-18 12:00:00,17.4000,-148.500, , ,EP
2021-10-07 18:00:00,14.5000,66.8000,25,1002,NI
2023-10-28 21:00:00,10.3175,-92.7125, , ,EP
2021-08-06 06:00:00,22.5000,-132.800,30,1006,EP
2023-02-25 12:00:00,-25.7000,68.1000, , ,SI
2021-08-26 15:00:00,20.5648,-126.150, , ,EP
2023-08-07 15:00:00,28.4500,131.165, , ,WP
2022-04-26 18:00:00,-14.0000,104.600,35,999,SI
2023-10-21 21:00:00,11.6747,56.1890, , ,NI
2022-05-10 15:00:00,-18.2375,93.0875, , ,SI
2021-02-05 06:00:00,-24.9000,111.950,30,994,SI
2020-08-11 09:00:00,45.3383,141.432, , ,WP
2021-10-11 18:00:00,19.0000,153.700,40,998,WP
2020-03-12 06:00:00,-13.6500,53.6000,20,1004,SI
2023-04-10 00:00:00,-13.6000,123.400, , ,SI
2021-04-13 00:00:00,7.58000,138.360, ,1006,WP
2020-11-26 06:00:00,13.0000,79.6000,35,998,NI
2020-08-30 12:00:00,24.9000,145.500, ,1008,WP
2021-12-19 09:00:00,14.3850,110.641, , ,WP
2021-02-27 18:00:00,-16.4000,92.6000,60,976,SI
2022-07-09 12:00:00,13.8000,-111.000,30,1008,EP
2020-11-05 18:00:00,20.6250,122.850,50,994,WP
2021-08-08 00:00:00,29.3000,126.775,40,990,WP
2022-06-20 15:00:00,11.6850,-95.2199, , ,EP
2021-11-30 12:00:00,13.1000,137.425,40,996,WP
2020-08-02 00:00:00,19.3733,106.480,35,990,WP
2021-12-02 12:00:00,11.4000,88.3600,25,1004,NI
2021-01-04 09:00:00,-15.0339,76.1499, , ,SI
2023-10-09 09:00:00,21.2346,112.710, , ,WP
2023-08-25 00:00:00,18.8000,154.500, , ,WP
2021-08-26 00:00:00,12.4000,-99.3000,35,1004,EP
2021-01-17 09:00:00,-12.8308,61.6975, , ,SI
2020-09-01 21:00:00,19.6020,142.932, , ,WP
2020-05-21 00:00:00,24.6286,89.6429,40,988,NI
2022-10-07 00:00:00,18.2000,-115.900,25,1009,EP
2022-05-28 18:00:00,13.6000,-98.2000,50,998,EP
2021-01-10 18:00:00,-19.1500,59.1000,23,1004,SI
2021-10-26 09:00:00,11.7216,110.691, , ,WP
2020-05-08 12:00:00,6.80000,133.650, ,1008,WP
2021-12-01 15:00:00,15.4662,135.589, , ,WP
2021-08-30 21:00:00,51.4144,172.967, , ,WP
2023-09-06 06:00:00,13.3000,-109.000, , ,EP
